10944750	10970,26619
12154500	7868,15315
1620500	5833
5780000	22313
12173500	554,3627,15405
2771250	28765
4256500	2410
11687000	8689
4770500	20699
4215750	17835
371250	391,21110
9706000	15114
3520000	27165
6564500	18805
7927750	26288
10069500	15322
1324500	7868
10588000	15138
2870250	4003
4902250	5157
6400000	2452
10492250	24984
2920750	11176
4054000	9090,11304
1140750	20449
3723750	4078
1758250	7070
8730250	26722
5655250	13093,29265
8529750	22583
8435250	6672
2033500	11176
10443000	19466
892500	17195
2891500	2257
2940000	2683,12168
1244250	4324
439000	6104,25415
5962750	27446
8163500	11677,19381
8072250	8081
3317500	224
9586500	19973
6233750	4220
8017000	22280
1688750	12220
2103250	7096
599750	9657
887750	15019
19500	19421
232000	7868
5024500	8439
12377250	18075
1724250	10714
3644250	18843
5226250	11645
1086750	7868
6155250	28660
8216500	22552
282500	12055
3031750	2655
5642000	22244,25570,25960
10521000	23475
