10944750	10944750,1461,25687
12028500	12028500,13747
12154500	12154500,7868,17640,3627,5470,14261,17418,26318
1620500	1620500,5833
4716750	4716750,2683,21110,22126
4844000	4844000,27396
5654000	5654000,29231,25840
5780000	5780000,15811,17214,17959,21336,22313,8313,10928,14261,18515,18736,21865,25386
6061250	6061250,10893,679,4949,29203
10229250	10229250,28653
10302500	10302500,26087,679
12015000	12015000,8024
12173500	12173500,554,3627,15405,9817,21110
1971500	1971500,25329,1739,4411,5315,7004,7624,8385,13701,14917,19166,21919,23019,27791
3963750	3963750,4949,7356,11176,16624,21067,24971
434750	434750,21911,27511,3228,4571
5254500	5254500,4238,11524,18072,25770
6571000	6571000,5470
6849750	6849750,8049,15584,19796
7703750	7703750,7868,14020
8149250	8149250,11196,5011,7560,12162,14294,16406,26737
10696000	10696000,14887,3740,19615,21110
1661750	1661750,10840,15315
2771250	2771250,476,789,7311,7560,14694,23475
2852250	2852250,11682
3211250	3211250,27155,239,16110,17706
3581250	3581250,5848,21110
4256500	4256500,2410
5034000	5034000,1241,3723,7465,12220,23223
11362000	11362000,2963
11687000	11687000,8689
12215000	12215000,3627,4949,6652,7090,7868,8689,11176,12352,13592,14261,15639,15934,25260,29099
1969000	1969000,18002,4411,5469,12220
4770500	4770500,599,6988,7335,9609,10404,11679,12220,12394,13554,24196,27191
4809750	4809750,679,1831
7002750	7002750,1831
8102000	8102000,2683
9163000	9163000,11080,28184
9244000	9244000,7868
1046250	1046250,6621,10678,11396
1906000	1906000,2683
1909250	1909250,25372
2874500	2874500,10840,2257,3047,6203,7868,7910,13888,14914,19422
2921750	2921750,143,27791,15446,15934,18805,22280,27371
317500	317500,9620
4184250	4184250,241,178,2257,4949,10788,11983,12220,14695,15315,28710
4215750	4215750,7747,8628,12251,23928,24194,25309
4956000	4956000,2042,14580
5108000	5108000,647,2257,2739,3627,11080,11176,11793,12346,16540,18730,24486,28463
6874250	6874250,2683,8637,15584,1771,11080,12168,12747,13483,20470,23143,24844,26318,26754
8040000	8040000,8257,2452,4571,5429,6880,7743,7868,9906,12541,15138,16406,18024,18292,18805,18843,24034,28347
9103250	9103250,12220
10095000	10095000,14261,19973,21092
5898500	5898500,374,7637,17732
6523250	6523250,14020
7687500	7687500,8173,8628,23748
9811750	9811750,10014,10969
10064500	10064500,22583
11340250	11340250,241,12394,25329,26973
11612500	11612500,15138,16672,19974
371250	371250,7680,21110,22889,25599
42000	42000,13390
9173750	9173750,9486,15639,19814
9628250	9628250,23779,25402
9706000	9706000,2683,3809,3980,6364,10180,26288
981000	981000,12394,4571,4949,7096,8662,8689,11176,11679,12220,16110,20764
10054250	10054250,1079,19660,10970,20297,20846
1459750	1459750,12220
1966250	1966250,251,2257,3228,3627,6096,9838,11052,16110,18730,23999
3952000	3952000,2128,3627,6864,12220,15584,26894
4850000	4850000,19980
